game_id,bookmaker,event_url,match_quality,found_at,notes,bookmaker_event_id,canonical_url,raw_url,discovered_at,mode
2025_ID37291,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,40,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,2025-08-23T08:39:49.180610+00:00,upcoming
2025_ID37291,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,42,browse,38 candidates; sample='greater western sydney v st kildatomorrow  10 20am',2391951,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,2025-08-23T08:39:59.379800+00:00,upcoming
2025_ID37295,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,46,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T08:40:01.828502+00:00,upcoming
2025_ID37295,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2394416,100,browse,38 candidates; sample='gold coast',2394416,https://pointsbet.com.au/sports/aussie-rules/AFL/2394416,https://pointsbet.com.au/sports/aussie-rules/AFL/2394416,2025-08-23T08:40:11.425625+00:00,upcoming
2025_ID37289,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,2025-08-23T08:40:13.482295+00:00,upcoming
2025_ID37289,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2392201,45,browse,38 candidates; sample='brisbane lions v hawthorntomorrow  5 20pm',2392201,https://pointsbet.com.au/sports/aussie-rules/AFL/2392201,https://pointsbet.com.au/sports/aussie-rules/AFL/2392201,2025-08-23T08:40:23.052954+00:00,upcoming
2025_ID37292,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,2025-08-23T08:40:25.208381+00:00,upcoming
2025_ID37292,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,100,browse,38 candidates; sample='richmond',2390970,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,https://pointsbet.com.au/sports/aussie-rules/AFL/2390970,2025-08-23T08:40:34.807233+00:00,upcoming
2025_ID37296,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T08:40:37.185631+00:00,upcoming
2025_ID37296,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391223,100,browse,38 candidates; sample='west coast',2391223,https://pointsbet.com.au/sports/aussie-rules/AFL/2391223,https://pointsbet.com.au/sports/aussie-rules/AFL/2391223,2025-08-23T08:40:46.769827+00:00,upcoming
2025_ID37288,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T08:40:49.601560+00:00,upcoming
2025_ID37288,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,100,browse,38 candidates; sample='greater western sydney',2391951,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,2025-08-23T08:40:59.158322+00:00,upcoming
2025_ID37290,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,2025-08-23T08:41:01.292140+00:00,upcoming
2025_ID37290,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,100,browse,38 candidates; sample='western bulldogs',2391965,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,2025-08-23T08:41:10.877702+00:00,upcoming
